Institutions,Date,Title,Subject Area,Journal,Link
"SNU","2025-08-24","Early postnatal right-to-left patent ductus arteriosus shunting and severe outcomes in neonates with congenital diaphragmatic hernia: a retrospective cohort study","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849638/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Phosphoprotein Profile of Ameloblastoma","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849725/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","METCAM/MUC18 is a Biomarker and Therapeutic Target for Prostate Cancer","Cancer Research","cell","https://pubmed.ncbi.nlm.nih.gov/40849720/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","The Impact of Nurse-Led Intervention on Breast Cancer Screening and Early Detection in China: Randomized Control Trial","Cancer Research","","https://pubmed.ncbi.nlm.nih.gov/40849715/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Biosynthesis of Copper Nanoparticles Using Passiflora Flower Extract and Study Their Antimicrobial, Antioxidant And Anticancer Activity","Cancer Research","cell","https://pubmed.ncbi.nlm.nih.gov/40849712/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Interleukin-13 (rs20541 A/G) Gene Polymorphism and Chance of Acquiring Hepatitis B in the Egyptian Population","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849710/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Mortality by Childhood Acute Lymphoblastic Leukemia: A Regional Analysis in Peru and Ecuador","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849704/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Association of Interleukin-27 (IL-27) rs181206 T/C and rs17855750 T/G Gene Polymorphisms and the Risk of Hepatitis B Infection among Egyptians","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849701/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","The Functional Interplay among GAD2, GABRG2, and CACNA1G Genes in Cancers","Cancer Research","","https://pubmed.ncbi.nlm.nih.gov/40849687/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Dynamical properties of chromatin provide insights into key folding principles","Multidisciplinary","nature","https://pubmed.ncbi.nlm.nih.gov/40849682/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","SugarcaneOmics: An integrative multi-omics platform for sugarcane research","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849681/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Carbon Monoxide Alleviates Cardiomyocyte Pyroptosis in Diabetic Cardiomyopathy by Downregulating the IL-33/ST2L Axis","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849678/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
